ラーメンを漢字で書くとどれ？,1,拉麺,羅麺,螺麺,老麺
太いストレート麺を特徴とする、横浜発祥のラーメンは？,2,油そば,家系ラーメン,坦々麺,つけ麺
中華麺特有のコシや弾力を生む添加剤は、次のうちどれか？,2,ソルビン酸,かんすい,スクラロース,ベーキングパウダー
日本初のラーメン店とされる店の名前は？,1,来々軒,南京千両,源来軒,風龍
福岡発祥の麺を後で追加するスタイルを何と呼ぶ？,2,マシマシ,替え玉,おかわり,追加で！
インスタントラーメンの一人当たりの年間消費量が最も多いのはどこの国？,2,日本,韓国,ロシア,ドイツ
チキンラーメンを考案した安藤百福は、毎日何ラーメンを食べていた？,4,醤油ラーメン,塩ラーメン,豚骨ラーメン,チキンラーメン
インスタントラーメン特殊な場所でも重宝されるがどんな時に使われる？,1,宇宙食,デブ活,家畜の餌,主婦の手抜き
歴史上、インスタントラーメンを発明したと言われる人物は？,2,孫文,安藤百福,井伊直弼,すぎやまこういち
即席麺によく見られるウェーブがかかった麺の製法は、正式には何と呼ぶのか？,3,圧縮ウェーブ麺製法,サンウェーブ麺製法,屈曲麺製法,歪曲麺製法
インスタントラーメンの製麺法(屈曲麺製法)を開発した人は？,2,日清食品,都一株式会社,東洋水産,上海人民公社
インスタントラーメンの待ち時間が3分なのはなぜ？,4,考案者が焦らし好きだから,麺がちょうど良くなる,スープとよく混ざる,より美味しく食べれる
日本で初めてラーメンを食べた人は誰？,3,空也,長宗我部元親,水戸黄門,大塩平八郎
インスタントラーメンのカレー味だけ麺が太い理由は？,1,スープの味が濃いため,元々うどんを作る予定だった,勢いとノリ,もちもち感を重視した
横浜を中心に人気の家系ラーメンの総本山はどこ？,2,せい家,吉村家,壱六家,武蔵家
八王子ラーメンのトッピングとして正しいのは？,3,わかめ,白髪ネギ,玉ねぎ,きくらげ
長浜ラーメンの誕生した頃の店の特徴として正しいのは？,2,深夜営業,屋台,立ち食い,セルフサービス
喜多方ラーメンや白河ラーメンで有名な県は？,1,福島県,福井県,長野県,青森県
熊本ラーメンに欠かせないマー油に使われている食材は？,3,ねぎ,わさび,ニンニク,生姜
和歌山ラーメンセットで食べられる早寿司とは主にどんな寿司のこと？,2,かっぱ巻き,鉄火巻き,鯖寿司,いなり寿司
鳥取ラーメンの出汁は主に何でとる？,3,えび,豚骨,牛骨,鴨
沖縄そばのトッピングとして人気のソーキの別名として正しいのは？,4,トントロ,テッポウ,肩ロース,スペアリブ
千葉県船橋市を中心に提供されているご当地ラーメンのスープに使われているものは？,4,ラー油,ポン酢,マヨネーズ,ソース
北海道三大ラーメンとして有名な地名で間違っているのはどれか？,3,札幌,函館,夕張,旭川
博多ラーメンの麺の硬さの名称で間違っているのはどれ？,1,ガチガチ,バリカタ,ハリガネ,粉落とし
